	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
GW843682X_B	-0.5103093149001141	0.02772068286129388	0.999215173316	0.000784826684107	0.000784826684107	1.0	0.04125	0.04125
Vinorelbine_B	-0.5072910454834001	0.021044380107447618	0.999149771092	0.000850228907783	0.000850228907783	1.0	0.04125	0.04125
NVP-TAE684_B	-0.5066948622566626	0.026014311415984176	0.999149771092	0.000850228907783	0.000850228907783	1.0	0.04125	0.04125
AZD-0530_B	-0.5065598516620959	0.02483090828180461	0.999149771092	0.000850228907783	0.000850228907783	1.0	0.04125	0.04125
Tipifarnib_B	-0.5060672591768	0.0196826956095742	0.999136690647	0.000863309352518	0.000863309352518	1.0	0.04125	0.04125
JNK-9L_B	-0.5046676371613698	0.024643863804296857	0.999097449313	0.000902550686723	0.000902550686723	1.0	0.0418181818182	0.0418181818182
AS601245_B	-0.5018544823048982	0.0207571116358045	0.9990058862	0.000994113799869	0.000994113799869	1.0	0.0432432432432	0.0432432432432
Imatinib_B	-0.5008997988666879	0.019852784253642154	0.998992805755	0.0010071942446	0.0010071942446	1.0	0.0432432432432	0.0432432432432
Erlotinib_B	-0.5002348628508831	0.020248623211889347	0.998953564421	0.00104643557881	0.00104643557881	1.0	0.0432432432432	0.0432432432432
Rapamycin_D	-0.5000182963448883	0.024852973328738294	0.998953564421	0.00104643557881	0.00104643557881	1.0	0.0432432432432	0.0432432432432
Bleomycin_B	-0.4970841637334318	0.020757027301465614	0.998809679529	0.0011903204709	0.0011903204709	1.0	0.0438461538462	0.0438461538462
Pazopanib_B	-0.49623090793610103	0.021151969198580072	0.998770438195	0.0012295618051	0.0012295618051	1.0	0.0438461538462	0.0438461538462
DMOG_B	-0.4954511670116382	0.023137980944153418	0.99875735775	0.00124264224984	0.00124264224984	1.0	0.0438461538462	0.0438461538462
Rapamycin_B	-0.49478986316885726	0.02085465700971423	0.998731196861	0.00126880313931	0.00126880313931	1.0	0.0438461538462	0.0438461538462
PF-562271_B	-0.49474546775949513	0.02297701709768961	0.998731196861	0.00126880313931	0.00126880313931	1.0	0.0438461538462	0.0438461538462
IPA-3_B	-0.4944648691025387	0.020753279056747256	0.998718116416	0.00128188358404	0.00128188358404	1.0	0.0438461538462	0.0438461538462
Bortezomib_B	-0.49367593216442546	0.021144446944720254	0.998678875082	0.00132112491825	0.00132112491825	1.0	0.0438461538462	0.0438461538462
AKT_inhibitor_VIII_B	-0.4924509128555843	0.02215842393456111	0.998613472858	0.00138652714192	0.00138652714192	1.0	0.0438461538462	0.0438461538462
AUY922_B	-0.49176720363626464	0.01962637598952428	0.998587311969	0.00141268803139	0.00141268803139	1.0	0.0438461538462	0.0438461538462
NSC-87877_B	-0.49171388032394653	0.024006300048593002	0.998587311969	0.00141268803139	0.00141268803139	1.0	0.0438461538462	0.0438461538462
AP-24534_D	-0.4914231262678165	0.01637147884456676	0.998587311969	0.00141268803139	0.00141268803139	1.0	0.0438461538462	0.0438461538462
Shikonin_B	-0.49059267878550833	0.021511264518266307	0.998548070634	0.0014519293656	0.0014519293656	1.0	0.0438461538462	0.0438461538462
Doxorubicin_B	-0.4901938609874821	0.020590641145831375	0.99853499019	0.00146500981033	0.00146500981033	1.0	0.0438461538462	0.0438461538462
Z-LLNle-CHO_ALPHA	-0.4901048643937919	0.0595806194588355	0.99853499019	0.00146500981033	0.00146500981033	1.0	0.0438461538462	0.0438461538462
Midostaurin_B	-0.48967005284026655	0.020706990098873154	0.9985088293	0.0014911706998	0.0014911706998	1.0	0.0438461538462	0.0438461538462
CHIR-99021_B	-0.48860118720098916	0.0214881048375541	0.998456507521	0.00154349247874	0.00154349247874	1.0	0.0439285714286	0.0439285714286
Epothilone_B_B	-0.4877263448289381	0.020724604707880248	0.998443427077	0.00155657292348	0.00155657292348	1.0	0.0439285714286	0.0439285714286
QS11_D	-0.487473073821981	0.023889697203637136	0.998417266187	0.00158273381295	0.00158273381295	1.0	0.0439285714286	0.0439285714286
Bicalutamide_B	-0.4868252541477542	0.020052275643354135	0.998391105298	0.00160889470242	0.00160889470242	1.0	0.0439285714286	0.0439285714286
Bortezomib_D	-0.48527076025245497	0.0821951744086443	0.998194898627	0.00180510137345	0.00180510137345	1.0	0.0475862068966	0.0475862068966
MS-275_D	-0.48524570378376564	0.12236771834468317	0.998194898627	0.00180510137345	0.00180510137345	1.0	0.0475862068966	0.0475862068966
PHA-665752_B	-0.484706232132462	0.02114727880357673	0.998103335513	0.00189666448659	0.00189666448659	1.0	0.0491525423729	0.0491525423729
FH535_B	-0.48414709815333434	0.01998948221606806	0.998051013734	0.00194898626553	0.00194898626553	1.0	0.0496666666667	0.0496666666667
Etoposide_B	-0.4827856090761262	0.022789500860850003	0.997933289732	0.00206671026815	0.00206671026815	1.0	0.0501538461538	0.0501538461538
Roscovitine_B	-0.4825006553028364	0.01902009611707089	0.997907128842	0.00209287115762	0.00209287115762	1.0	0.0501538461538	0.0501538461538
Thapsigargin_B	-0.4823472840981976	0.020399032493788015	0.997894048398	0.00210595160235	0.00210595160235	1.0	0.0501538461538	0.0501538461538
PAC-1_B	-0.48226814336944196	0.018736648207749337	0.997894048398	0.00210595160235	0.00210595160235	1.0	0.0501538461538	0.0501538461538
LFM-A13_B	-0.4821252988344425	0.019533635957192704	0.997867887508	0.00213211249182	0.00213211249182	1.0	0.0501538461538	0.0501538461538
PF-02341066_B	-0.48192365984602287	0.02493032856899666	0.997802485284	0.0021975147155	0.0021975147155	1.0	0.0509090909091	0.0509090909091
Cisplatin_ALPHA	-0.4812139525617919	0.11387629029382415	0.997724002616	0.00227599738391	0.00227599738391	1.0	0.0519402985075	0.0519402985075
OSU-03012_B	-0.47996371865688786	0.018684759749341594	0.997606278613	0.00239372138653	0.00239372138653	1.0	0.0522891566265	0.0522891566265
GSK269962A_ALPHA	-0.4785646207600373	0.08764050718185855	0.9975147155	0.00248528449967	0.00248528449967	1.0	0.0522891566265	0.0522891566265
Mitomycin_C_B	-0.47853441885697817	0.020806161078120146	0.9975147155	0.00248528449967	0.00248528449967	1.0	0.0522891566265	0.0522891566265
BI-2536_D	-0.47782782021507464	0.055505151737268284	0.9975147155	0.00248528449967	0.00248528449967	1.0	0.0522891566265	0.0522891566265
Methotrexate_IC_50_HIGH	-0.47733821560414247	0.02754032933245954	0.997436232832	0.00256376716808	0.00256376716808	1.0	0.0522891566265	0.0522891566265
FTI-277_B	-0.4772954665661231	0.022836676632519825	0.997423152387	0.00257684761282	0.00257684761282	1.0	0.0522891566265	0.0522891566265
Bexarotene_B	-0.4766432519943304	0.01955592470339824	0.997370830608	0.00262916939176	0.00262916939176	1.0	0.0522891566265	0.0522891566265
Embelin_B	-0.4765701004771732	0.01930236748908941	0.997357750164	0.00264224983649	0.00264224983649	1.0	0.0522891566265	0.0522891566265
DMOG_D	-0.4750968295932629	0.09902880455560366	0.997253106606	0.00274689339438	0.00274689339438	1.0	0.0522891566265	0.0522891566265
GSK-650394_B	-0.4750636168421869	0.0184943154397085	0.997253106606	0.00274689339438	0.00274689339438	1.0	0.0522891566265	0.0522891566265
OSI-906_B	-0.4748777053410716	0.019531448045351684	0.997240026161	0.00275997383911	0.00275997383911	1.0	0.0522891566265	0.0522891566265
LAQ824_B	-0.474599001568738	0.020874006456603582	0.997240026161	0.00275997383911	0.00275997383911	1.0	0.0522891566265	0.0522891566265
Etoposide_D	-0.47386934216098553	0.09344509752268722	0.997213865271	0.00278613472858	0.00278613472858	1.0	0.0522891566265	0.0522891566265
Salubrinal_B	-0.4737341895699198	0.02644464701103964	0.997213865271	0.00278613472858	0.00278613472858	1.0	0.0522891566265	0.0522891566265
681640_BETA	-0.4734118026347505	0.03140639683951847	0.997187704382	0.00281229561805	0.00281229561805	1.0	0.0522891566265	0.0522891566265
Methotrexate_IC_90	-0.4731437758122271	0.02559886800089644	0.997161543492	0.00283845650752	0.00283845650752	1.0	0.0522891566265	0.0522891566265
GSK-1904529A_B	-0.47149394041264825	0.021489523883221034	0.9970176586	0.00298234139961	0.00298234139961	1.0	0.0538823529412	0.0538823529412
Pyrimethamine_ALPHA	-0.4714528069842706	0.06894806284709815	0.997004578156	0.00299542184434	0.00299542184434	1.0	0.0538823529412	0.0538823529412
Obatoclax_Mesylate_B	-0.47032248707301394	0.020982358012125505	0.996899934598	0.00310006540222	0.00310006540222	1.0	0.0551162790698	0.0551162790698
BMS-754807_B	-0.46951494321755133	0.01887057393801793	0.996821451929	0.00317854807063	0.00317854807063	1.0	0.0552272727273	0.0552272727273
GSK269962A_B	-0.46949493832427713	0.02620934307899429	0.996821451929	0.00317854807063	0.00317854807063	1.0	0.0552272727273	0.0552272727273
FH535_D	-0.46907688496751726	0.02732794565893855	0.996729888816	0.00327011118378	0.00327011118378	1.0	0.0561797752809	0.0561797752809
AZD6482_B	-0.46767558255791586	0.022133609129040555	0.996651406148	0.00334859385219	0.00334859385219	1.0	0.0568888888889	0.0568888888889
QS11_B	-0.46746285697631856	0.02083571588017535	0.996612164814	0.0033878351864	0.0033878351864	1.0	0.0569230769231	0.0569230769231
Gemcitabine_B	-0.4659778051677801	0.020426988069797324	0.996376716808	0.00362328319163	0.00362328319163	1.0	0.0602173913043	0.0602173913043
Bryostatin_1_B	-0.4658216829044355	0.018189090324656317	0.996324395029	0.00367560497057	0.00367560497057	1.0	0.0604301075269	0.0604301075269
PLX4720_BETA	-0.4644464461190686	0.031923496434913705	0.996206671027	0.00379332897319	0.00379332897319	1.0	0.0617021276596	0.0617021276596
Embelin_D	-0.46330506135583427	0.025845750963557505	0.996115107914	0.00388489208633	0.00388489208633	1.0	0.0625263157895	0.0625263157895
Sorafenib_ALPHA	-0.46275989075955826	0.13793959803571285	0.996010464356	0.00398953564421	0.00398953564421	1.0	0.0632989690722	0.0632989690722
Bleomycin_D	-0.46229457274487606	0.07545072351434932	0.995984303466	0.00401569653368	0.00401569653368	1.0	0.0632989690722	0.0632989690722
Imatinib_D	-0.4618142108036398	0.05266479821611931	0.995905820798	0.00409417920209	0.00409417920209	1.0	0.0638775510204	0.0638775510204
CMK_ALPHA	-0.4606540434998701	0.12484187756732679	0.995748855461	0.00425114453891	0.00425114453891	1.0	0.0656565656566	0.0656565656566
BAY_61-3606_B	-0.4593845078486177	0.022189675493599282	0.995565729235	0.00443427076521	0.00443427076521	1.0	0.0678	0.0678
BAY_61-3606_D	-0.45790296501903444	0.02385275033257401	0.99530412034	0.00469587965991	0.00469587965991	1.0	0.0710891089109	0.0710891089109
PHA-665752_ALPHA	-0.45703270817210995	0.14137516168591988	0.995107913669	0.00489208633094	0.00489208633094	1.0	0.0733333333333	0.0733333333333
Methotrexate_IC_75	-0.45561610103207106	0.026486876165259635	0.994937867888	0.00506213211249	0.00506213211249	1.0	0.075145631068	0.075145631068
IPA-3_BETA	-0.4524515637847732	0.11770842297146207	0.994362328319	0.00563767168084	0.00563767168084	1.0	0.0828846153846	0.0828846153846
Nutlin-3a_ALPHA	-0.44905280483742177	0.05677525273272677	0.993538260301	0.00646173969915	0.00646173969915	1.0	0.0939622641509	0.0939622641509
Methotrexate_BETA	-0.44874509201307144	0.1357656418209648	0.993485938522	0.00651406147809	0.00651406147809	1.0	0.0939622641509	0.0939622641509
AP-24534_BETA	-0.44817221557186127	0.060165580530522324	0.993381294964	0.00661870503597	0.00661870503597	1.0	0.0945794392523	0.0945794392523
Bryostatin_1_D	-0.4470433582080429	0.027392197001591154	0.993054283846	0.00694571615435	0.00694571615435	1.0	0.0983333333333	0.0983333333333
OSU-03012_D	-0.4462708842680239	0.02898533827573721	0.992884238064	0.00711576193591	0.00711576193591	1.0	0.0998165137615	0.0998165137615
Methotrexate_D	-0.44510288392486175	0.09334738070738081	0.992635709614	0.00736429038587	0.00736429038587	1.0	0.102363636364	0.102363636364
PLX4720_ALPHA	-0.4446234568935848	0.08423740463000805	0.992544146501	0.00745585349902	0.00745585349902	1.0	0.102702702703	0.102702702703
Bexarotene_ALPHA	-0.44399455236394847	0.13737643098901403	0.992387181164	0.00761281883584	0.00761281883584	1.0	0.103928571429	0.103928571429
MS-275_B	-0.4417997269269202	0.018018656451773897	0.991981687377	0.00801831262263	0.00801831262263	1.0	0.108495575221	0.108495575221
OSI-906_D	-0.4398602953624563	0.02479985714665858	0.991510791367	0.00848920863309	0.00848920863309	1.0	0.112586206897	0.112586206897
Cyclopamine_ALPHA	-0.4396593091733121	0.12495566660772374	0.991510791367	0.00848920863309	0.00848920863309	1.0	0.112586206897	0.112586206897
ABT-263_IC_90	-0.43938818056319257	0.02337590421982429	0.991458469588	0.00854153041203	0.00854153041203	1.0	0.112586206897	0.112586206897
Thapsigargin_D	-0.4379753013652888	0.020467694753515155	0.99113145847	0.00886854153041	0.00886854153041	1.0	0.115798319328	0.115798319328
Elesclomol_ALPHA	-0.4376536183750248	0.026862472789448616	0.991000654022	0.00899934597776	0.00899934597776	1.0	0.115798319328	0.115798319328
Midostaurin_ALPHA	-0.43755218482109304	0.058624540490684045	0.990987573578	0.0090124264225	0.0090124264225	1.0	0.115798319328	0.115798319328
Epothilone_B_D	-0.43691781484591224	0.024741323890698587	0.990869849575	0.00913015042511	0.00913015042511	1.0	0.116333333333	0.116333333333
Midostaurin_D	-0.4363857496001781	0.12215699941148656	0.990712884238	0.00928711576194	0.00928711576194	1.0	0.117355371901	0.117355371901
NSC-87877_D	-0.4360203517262647	0.02163745425273193	0.99063440157	0.00936559843035	0.00936559843035	1.0	0.11737704918	0.11737704918
Methotrexate_IC_50_LOW	-0.4348255156788637	0.02846586600838956	0.990281229562	0.00971877043819	0.00971877043819	1.0	0.12081300813	0.12081300813
KIN001-135_BETA	-0.43416958352188645	0.10316387389299302	0.990098103336	0.00990189666449	0.00990189666449	1.0	0.122096774194	0.122096774194
BX-795_ALPHA	-0.4328045153802905	0.08173630923814554	0.989823413996	0.0101765860039	0.0101765860039	1.0	0.123650793651	0.123650793651
NSC-87877_BETA	-0.4326804285801969	0.02278293329296828	0.989810333551	0.0101896664487	0.0101896664487	1.0	0.123650793651	0.123650793651
JNK-9L_D	-0.43035523700349465	0.11568740558576546	0.989260954872	0.0107390451275	0.0107390451275	1.0	0.129291338583	0.129291338583
NSC-87877_ALPHA	-0.42978090804702007	0.11653643095546246	0.989025506867	0.0109744931328	0.0109744931328	1.0	0.13109375	0.13109375
IPA-3_D	-0.4288820886494333	0.017729640220639456	0.988724656638	0.0112753433617	0.0112753433617	1.0	0.133643410853	0.133643410853
NU-7441_ALPHA	-0.4276209065644027	0.08163182486393597	0.988319162852	0.0116808371485	0.0116808371485	1.0	0.137384615385	0.137384615385
CCT007093_IC_90	-0.42650043800159	0.07558211451065551	0.987874427731	0.0121255722695	0.0121255722695	1.0	0.141526717557	0.141526717557
AZ628_D	-0.4242745836505174	0.12523765820580973	0.987037279267	0.0129627207325	0.0129627207325	1.0	0.150151515152	0.150151515152
Bicalutamide_D	-0.4235866516888136	0.018649883286053767	0.986827992152	0.0131720078483	0.0131720078483	1.0	0.150895522388	0.150895522388
FTI-277_ALPHA	-0.4234190994360962	0.01480290807294111	0.986775670373	0.0132243296272	0.0132243296272	1.0	0.150895522388	0.150895522388
ATRA_ALPHA	-0.42183244115361174	0.13894776969430286	0.98618705036	0.0138129496403	0.0138129496403	1.0	0.156444444444	0.156444444444
AUY922_D	-0.42051393828083544	0.017094047030391014	0.98566383257	0.0143361674297	0.0143361674297	1.0	0.161176470588	0.161176470588
VX-702_IC_50_HIGH	-0.41980178201070734	0.07735566852627433	0.985428384565	0.0145716154349	0.0145716154349	1.0	0.162627737226	0.162627737226
Methotrexate_AUC	-0.41935132902701255	0.023495075634863524	0.985179856115	0.0148201438849	0.0148201438849	1.0	0.164202898551	0.164202898551
SL_0101-1_AUC	-0.41880699680877914	0.11195630568466473	0.98494440811	0.0150555918901	0.0150555918901	1.0	0.165611510791	0.165611510791
Z-LLNle-CHO_BETA	-0.41816284784911856	0.054775658337026134	0.984578155657	0.0154218443427	0.0154218443427	1.0	0.168428571429	0.168428571429
17-AAG_D	-0.41775612673553064	0.09438915099241849	0.984434270765	0.0155657292348	0.0155657292348	1.0	0.168794326241	0.168794326241
FTI-277_D	-0.4145748384973331	0.11696561895782458	0.982943100065	0.0170568999346	0.0170568999346	1.0	0.182937062937	0.182937062937
CGP-60474_D	-0.41452419697966053	0.050666191441261804	0.982890778286	0.0171092217135	0.0171092217135	1.0	0.182937062937	0.182937062937
Obatoclax_Mesylate_ALPHA	-0.41280921898129047	0.017185954632875138	0.982027468934	0.0179725310661	0.0179725310661	1.0	0.190833333333	0.190833333333
AZ628_B	-0.4114308312031886	0.01702483496050346	0.981373446697	0.0186265533028	0.0186265533028	1.0	0.194829931973	0.194829931973
Methotrexate_IC_50	-0.4112810279477918	0.026633535970462044	0.981360366252	0.0186396337475	0.0186396337475	1.0	0.194829931973	0.194829931973
RO-3306_ALPHA	-0.4111658407706521	0.10905973737082784	0.981268803139	0.0187311968607	0.0187311968607	1.0	0.194829931973	0.194829931973
EHT_1864_D	-0.4104411348174162	0.11954389978519518	0.980915631131	0.0190843688685	0.0190843688685	1.0	0.197162162162	0.197162162162
VX-702_BETA	-0.4085194736574614	0.05957544066334118	0.980156965337	0.0198430346632	0.0198430346632	1.0	0.203624161074	0.203624161074
Nutlin-3a_BETA	-0.40821580278396435	0.0966799185512108	0.98	0.02	0.02	1.0	0.203866666667	0.203866666667
Parthenolide_BETA	-0.4061978314369825	0.12887763265074992	0.979058207979	0.0209417920209	0.0209417920209	1.0	0.212052980132	0.212052980132
Sunitinib_ALPHA	-0.4036481686178123	0.13010415477578888	0.977370830608	0.0226291693918	0.0226291693918	1.0	0.226928104575	0.226928104575
GSK-1904529A_D	-0.40354720798753685	0.02470055023250329	0.97729234794	0.0227076520602	0.0227076520602	1.0	0.226928104575	0.226928104575
Sorafenib_B	-0.4030452425227785		0.977083060824	0.0229169391759	0.0229169391759	1.0	0.227532467532	0.227532467532
Roscovitine_D	-0.4012659546452762		0.976010464356	0.0239895356442	0.0239895356442	1.0	0.234777070064	0.234777070064
Temsirolimus_IC_90	-0.4011888962857975		0.975984303466	0.0240156965337	0.0240156965337	1.0	0.234777070064	0.234777070064
Methotrexate_IC_25	-0.4011047412764737		0.975892740353	0.0241072596468	0.0241072596468	1.0	0.234777070064	0.234777070064
NVP-BEZ235_D	-0.3999500326385725		0.975199476782	0.0248005232178	0.0248005232178	1.0	0.24	0.24
Parthenolide_B	-0.39949956565985834		0.974872465664	0.0251275343362	0.0251275343362	1.0	0.241635220126	0.241635220126
LAQ824_D	-0.39881143606376057		0.974480052322	0.0255199476782	0.0255199476782	1.0	0.243850931677	0.243850931677
BMS-536924_ALPHA	-0.3985896754252445		0.974323086985	0.025676913015	0.025676913015	1.0	0.243850931677	0.243850931677
Cyclopamine_BETA	-0.39827007170420886		0.974048397646	0.0259516023545	0.0259516023545	1.0	0.244938271605	0.244938271605
Docetaxel_D	-0.39787840291399407		0.97381294964	0.0261870503597	0.0261870503597	1.0	0.245644171779	0.245644171779
Tipifarnib_ALPHA	-0.3972997470911259		0.97331589274	0.0266841072596	0.0266841072596	1.0	0.248780487805	0.248780487805
PF-02341066_D	-0.39616046984480013		0.972688031393	0.0273119686069	0.0273119686069	1.0	0.253090909091	0.253090909091
Cyclopamine_D	-0.3948715809724661		0.971733158927	0.0282668410726	0.0282668410726	1.0	0.260361445783	0.260361445783
Cyclopamine_B	-0.39395857950922647		0.970948332243	0.0290516677567	0.0290516677567	1.0	0.265988023952	0.265988023952
Cyclopamine_IC_50_HIGH	-0.39328708407724333		0.970555918901	0.0294440810988	0.0294440810988	1.0	0.266081871345	0.266081871345
Paclitaxel_D	-0.39283678354897794		0.970372792675	0.029627207325	0.029627207325	1.0	0.266081871345	0.266081871345
Nilotinib_IC_50_HIGH	-0.3927793234054494		0.97035971223	0.0296402877698	0.0296402877698	1.0	0.266081871345	0.266081871345
CCT018159_BETA	-0.39264119538180997		0.970241988228	0.0297580117724	0.0297580117724	1.0	0.266081871345	0.266081871345
NVP-TAE684_ALPHA	-0.39222455266553025		0.969797253107	0.0302027468934	0.0302027468934	1.0	0.268488372093	0.268488372093
Imatinib_BETA	-0.3915553478267596		0.969470241988	0.0305297580118	0.0305297580118	1.0	0.269826589595	0.269826589595
Vinblastine_D	-0.3911844630234011		0.969182472204	0.0308175277959	0.0308175277959	1.0	0.270804597701	0.270804597701
AZD-0530_BETA	-0.39081494197478955		0.96889470242	0.0311052975801	0.0311052975801	1.0	0.271771428571	0.271771428571
CHIR-99021_D	-0.390272732847052		0.968541530412	0.031458469588	0.031458469588	1.0	0.273295454545	0.273295454545
AICAR_D	-0.3892886361901221		0.967861347286	0.0321386527142	0.0321386527142	1.0	0.276648044693	0.276648044693
Pazopanib_D	-0.3890055976353956		0.967717462394	0.0322825376063	0.0322825376063	1.0	0.276648044693	0.276648044693
Vorinostat_IC_90	-0.3888863000876899		0.967612818836	0.0323871811642	0.0323871811642	1.0	0.276648044693	0.276648044693
VX-680_D	-0.3883790397928093		0.967233485939	0.0327665140615	0.0327665140615	1.0	0.278333333333	0.278333333333
CMK_BETA	-0.38742478543227327		0.966357096141	0.0336429038587	0.0336429038587	1.0	0.284198895028	0.284198895028
NU-7441_D	-0.38697722113684246		0.966017004578	0.0339829954218	0.0339829954218	1.0	0.285494505495	0.285494505495
Elesclomol_D	-0.3864002973435798		0.965716154349	0.0342838456508	0.0342838456508	1.0	0.286448087432	0.286448087432
PAC-1_D	-0.3861248726453092		0.965376062786	0.0346239372139	0.0346239372139	1.0	0.287717391304	0.287717391304
BMS-708163_ALPHA	-0.38489432910574783		0.964381948986	0.0356180510137	0.0356180510137	1.0	0.292834224599	0.292834224599
Sunitinib_D	-0.3846034931270766		0.964224983649	0.0357750163506	0.0357750163506	1.0	0.292834224599	0.292834224599
GDC-0449_IC_50_HIGH	-0.3844936482704403		0.964185742315	0.0358142576848	0.0358142576848	1.0	0.292834224599	0.292834224599
Vorinostat_IC_75	-0.3831051069533572		0.963270111184	0.0367298888162	0.0367298888162	1.0	0.298723404255	0.298723404255
CMK_D	-0.38240632804429575		0.962773054284	0.0372269457162	0.0372269457162	1.0	0.301164021164	0.301164021164
Bosutinib_D	-0.3803496255582862		0.960981033355	0.0390189666449	0.0390189666449	1.0	0.311502590674	0.311502590674
KIN001-135_ALPHA	-0.3802054939162998		0.960889470242	0.039110529758	0.039110529758	1.0	0.311502590674	0.311502590674
ABT-263_IC_50_LOW	-0.37995558457295936		0.960732504905	0.0392674950948	0.0392674950948	1.0	0.311502590674	0.311502590674
TGX221_B	-0.3798938360199353		0.960680183126	0.0393198168738	0.0393198168738	1.0	0.311502590674	0.311502590674
MG-132_BETA	-0.3786832550231491		0.959581425768	0.0404185742315	0.0404185742315	1.0	0.317461928934	0.317461928934
KIN001-135_B	-0.3785887603797821		0.959463701766	0.0405362982341	0.0405362982341	1.0	0.317461928934	0.317461928934
BIRB_0796_D	-0.37826931410809683		0.959162851537	0.040837148463	0.040837148463	1.0	0.317461928934	0.317461928934
BMS-509744_ALPHA	-0.3781261193527802		0.959097449313	0.0409025506867	0.0409025506867	1.0	0.317461928934	0.317461928934
Obatoclax_Mesylate_BETA	-0.3779596251591764		0.958888162198	0.0411118378025	0.0411118378025	1.0	0.317474747475	0.317474747475
Mitomycin_C_D	-0.37763142783905024		0.958678875082	0.0413211249182	0.0413211249182	1.0	0.317487437186	0.317487437186
GDC-0449_D	-0.376856427745432		0.958181818182	0.0418181818182	0.0418181818182	1.0	0.3197	0.3197
CGP-082996_D	-0.3764530245628248		0.957841726619	0.0421582733813	0.0421582733813	1.0	0.320696517413	0.320696517413
NSC-87877_IC_50_HIGH	-0.37560142512734845		0.957096141269	0.0429038587312	0.0429038587312	1.0	0.324752475248	0.324752475248
CGP-082996_ALPHA	-0.37486951344496594		0.956402877698	0.0435971223022	0.0435971223022	1.0	0.328374384236	0.328374384236
